ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
na	NZ_CP035879.1	5083123	0.023	103	0.005	0	1686	0.033	1658	98.339	28	1.661	0	0.000	13863	0.273	229	0.005	0	0
na	NZ_CP073624.1	4950124	0.029	328	0.016	0	4864	0.098	4714	96.916	149	3.103	62	1.275	17147	0.346	1114	0.023	1	177702
na	NZ_CP024147.1	4639454	0.014	68	0.003	0	882	0.019	856	97.052	26	2.948	0	0.000	12883	0.278	1853	0.040	0	0
na	NZ_CP138428.1	4614072	0.019	138	0.007	0	3112	0.067	3078	98.907	34	1.093	0	0.000	10766	0.233	181	0.004	0	0
na	NZ_CP106924.1	4837116	0.024	76	0.004	0	1278	0.026	1270	99.374	8	0.628	5	0.391	14399	0.298	145	0.003	0	0
na	NZ_CP051751.1	5054966	0.008	49	0.002	0	580	0.011	571	98.448	9	1.552	0	0.000	3816	0.075	0	0.000	0	0
na	NZ_CP047600.1	4768611	0.004	14	0.001	0	183	0.004	180	98.361	3	1.639	0	0.000	2170	0.046	0	0.000	0	0
na	NZ_CP023386.1	4900891	0.006	43	0.002	0	628	0.013	617	98.248	11	1.752	0	0.000	3334	0.068	0	0.000	0	0
na	NZ_CP030919.1	4810511	0.040	94	0.005	0	2908	0.060	2898	99.656	10	0.344	0	0.000	24951	0.519	0	0.000	0	0
na	NZ_CP027550.1	4836918	0.004	26	0.001	0	184	0.004	182	98.913	2	1.087	0	0.000	3087	0.064	358	0.007	0	0
na	NZ_CP110511.1	4814832	0.024	71	0.003	0	1737	0.036	1722	99.136	15	0.864	0	0.000	16064	0.334	0	0.000	0	0
na	NZ_AP023197.1	4894769	0.019	204	0.010	0	3784	0.077	3778	99.841	6	0.159	3	0.079	11009	0.225	628	0.013	0	0
na	NZ_CP142442.1	5358846	0.008	36	0.002	0	585	0.011	580	99.145	5	0.855	0	0.000	6753	0.126	167	0.003	0	0
na	NZ_CP134358.1	4936594	0.008	46	0.002	0	482	0.010	476	98.755	6	1.245	0	0.000	4573	0.093	0	0.000	0	0
na	NZ_CP038383.1	5571128	0.008	68	0.003	0	1870	0.034	1843	98.556	27	1.444	0	0.000	4681	0.084	0	0.000	0	0
na	NC_017646.1	5313531	0.007	40	0.002	0	748	0.014	740	98.930	8	1.070	0	0.000	5061	0.095	32	0.001	0	0
na	NZ_CP095448.1	5120890	0.017	278	0.014	0	4547	0.089	4527	99.560	20	0.440	0	0.000	7628	0.149	0	0.000	0	0
na	NZ_CP028750.1	4602860	0.004	18	0.001	0	19	0.000	18	94.737	1	5.263	0	0.000	2983	0.065	42	0.001	1	1418125
na	NZ_ABACVG020000001.1	4878159	0.009	152	0.007	0	3288	0.067	3202	97.384	86	2.616	0	0.000	3802	0.078	0	0.000	0	0
na	NZ_CP053730.1	4590822	0.041	204	0.010	0	2630	0.057	2625	99.810	5	0.190	0	0.000	24441	0.532	793	0.017	3	454128
