ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
na	NZ_CP035879.1	5083123	0.016	64	0.003	0	1552	0.031	1539	99.162	13	0.838	0	0.000	10048	0.198	0	0.000	0	0
na	NZ_CP073624.1	4950124	0.028	648	0.030	0	10399	0.210	10267	98.731	131	1.266	55	0.529	14382	0.291	2612	0.053	0	0
na	NZ_CP024147.1	4639454	0.011	49	0.002	0	1213	0.026	1175	96.867	38	3.133	0	0.000	7217	0.156	0	0.000	0	0
na	NZ_CP138428.1	4614072	0.017	128	0.006	0	3348	0.073	3270	97.670	78	2.330	0	0.000	8323	0.180	193	0.004	0	0
na	NZ_CP106924.1	4837116	0.017	48	0.002	0	1103	0.023	1087	98.549	16	1.451	0	0.000	10163	0.210	0	0.000	0	0
na	NZ_CP051751.1	5054966	0.011	133	0.006	0	3560	0.070	3469	97.444	91	2.575	26	0.730	7006	0.139	241	0.005	0	0
na	NZ_CP047600.1	4768611	0.007	49	0.002	0	1398	0.029	1365	97.639	33	2.361	0	0.000	2882	0.060	0	0.000	1	750143
na	NZ_CP023386.1	4900891	0.007	60	0.003	0	2014	0.041	1980	98.312	34	1.688	0	0.000	3619	0.074	0	0.000	0	0
na	NZ_CP030919.1	4810511	0.026	53	0.002	0	1284	0.027	1259	98.053	25	1.947	0	0.000	13523	0.281	0	0.000	0	0
na	NZ_CP027550.1	4836918	0.008	97	0.004	0	2390	0.049	2301	96.276	89	3.724	0	0.000	4162	0.086	404	0.008	0	0
na	NZ_CP110511.1	4814832	0.015	50	0.002	0	780	0.016	774	99.231	6	0.769	0	0.000	8760	0.182	0	0.000	0	0
na	NZ_AP023197.1	4894769	0.017	172	0.008	0	5925	0.121	5845	98.650	80	1.350	0	0.000	9954	0.203	0	0.000	0	0
na	NZ_CP142442.1	5358846	0.016	89	0.004	0	2482	0.046	2419	97.462	63	2.538	0	0.000	12449	0.232	253	0.005	1	525541
na	NZ_CP134358.1	4936594	0.008	57	0.003	0	1941	0.039	1867	96.188	74	3.812	0	0.000	4875	0.099	0	0.000	0	0
na	NZ_CP038383.1	5571128	0.010	87	0.004	0	2221	0.040	2128	95.813	93	4.187	0	0.000	6873	0.123	0	0.000	1	546993
na	NC_017646.1	5313531	0.010	138	0.006	0	3689	0.069	3580	97.045	109	2.955	0	0.000	5731	0.108	0	0.000	0	0
na	NZ_CP095448.1	5120890	0.012	150	0.007	0	3925	0.077	3842	97.885	83	2.115	0	0.000	5496	0.107	0	0.000	1	491315
na	NZ_CP028750.1	4602860	0.006	59	0.003	0	1269	0.028	1213	95.587	56	4.413	0	0.000	2997	0.065	0	0.000	0	0
na	NZ_ABACVG020000001.1	4878159	0.019	442	0.020	0	12077	0.248	11704	96.911	373	3.089	0	0.000	6351	0.130	41	0.001	1	434314
na	NZ_CP053730.1	4590822	0.030	111	0.005	0	3759	0.082	3744	99.601	15	0.399	0	0.000	15742	0.343	39	0.001	1	190890
na	NZ_CP019267.1	4740860	0.023	165	0.008	0	4945	0.104	4937	99.838	8	0.162	0	0.000	13106	0.276	39	0.001	0	0
na	NZ_CP104371.1	4936877	0.007	19	0.001	0	679	0.014	657	96.760	22	3.240	0	0.000	4006	0.081	0	0.000	0	0
na	NZ_CP095533.1	5071683	0.010	79	0.004	0	2323	0.046	2214	95.308	109	4.692	0	0.000	5121	0.101	0	0.000	0	0
na	NZ_CP071375.1	5022520	0.024	512	0.024	0	12815	0.255	12674	98.900	141	1.100	0	0.000	6912	0.138	0	0.000	1	247907
na	NZ_CP095540.1	4880747	0.009	115	0.005	0	3224	0.066	3142	97.457	82	2.543	0	0.000	4795	0.098	0	0.000	0	0
na	NZ_CP141765.1	5018039	0.011	66	0.003	0	1825	0.036	1809	99.123	16	0.877	0	0.000	6991	0.139	295	0.006	0	0
na	NZ_AP022261.1	4907327	0.007	71	0.003	0	2068	0.042	2014	97.389	54	2.611	0	0.000	3128	0.064	0	0.000	0	0
na	NZ_CP022686.1	5055316	0.004	29	0.001	0	653	0.013	633	96.937	20	3.063	0	0.000	2728	0.054	0	0.000	0	0
na	NZ_CP135649.1	4717304	0.023	58	0.003	0	1459	0.031	1451	99.452	8	0.548	0	0.000	14570	0.309	0	0.000	1	223002
na	NZ_CP087290.1	5197709	0.016	176	0.008	0	5340	0.103	5190	97.191	150	2.809	0	0.000	8628	0.166	0	0.000	1	341314
na	NZ_CP082774.1	5015239	0.005	35	0.002	0	717	0.014	705	98.326	12	1.674	0	0.000	2939	0.059	0	0.000	0	0
na	NZ_CP100500.1	5559392	0.014	134	0.006	0	4300	0.077	4207	97.837	93	2.163	0	0.000	9019	0.162	0	0.000	0	0
na	NZ_CP027440.1	4892666	0.008	39	0.002	0	752	0.015	696	92.553	56	7.447	0	0.000	6749	0.138	0	0.000	0	0
na	NZ_CP033762.1	4977723	0.006	193	0.009	0	706	0.014	686	97.167	20	2.833	0	0.000	5069	0.102	906	0.018	0	0
na	NZ_CP068815.1	5192168	0.006	56	0.003	0	2204	0.042	2179	98.866	25	1.134	0	0.000	2800	0.054	0	0.000	0	0
na	NZ_CP098223.1	4841244	0.026	525	0.024	0	13815	0.285	13479	97.568	336	2.434	9	0.065	9646	0.199	0	0.000	0	0
na	NZ_CP104598.1	4901141	0.012	52	0.002	0	954	0.019	917	96.122	37	3.878	0	0.000	8000	0.163	0	0.000	0	0
na	NZ_AP022811.1	5283470	0.017	60	0.003	0	1577	0.030	1568	99.429	9	0.571	0	0.000	12585	0.238	173	0.003	1	338143
na	NZ_AP027258.1	4968007	0.013	67	0.003	0	1881	0.038	1815	96.491	66	3.509	0	0.000	7464	0.150	0	0.000	0	0
na	NZ_AP019538.1	5071981	0.007	23	0.001	0	740	0.015	706	95.405	34	4.595	0	0.000	4336	0.085	0	0.000	0	0
na	NZ_AP021933.1	4928821	0.012	119	0.005	0	4391	0.089	4299	97.905	92	2.095	0	0.000	4952	0.100	0	0.000	2	1034977
na	NZ_AP022087.1	4996252	0.008	36	0.002	0	825	0.017	802	97.212	23	2.788	0	0.000	4933	0.099	0	0.000	0	0
na	NZ_CP054345.1	5023098	0.004	28	0.001	0	333	0.007	328	98.498	5	1.502	0	0.000	2910	0.058	0	0.000	0	0
na	NC_011601.1	4965553	0.007	60	0.003	0	1179	0.024	1146	97.201	33	2.799	0	0.000	4515	0.091	0	0.000	0	0
na	NZ_CP028758.1	4902546	0.010	51	0.002	0	1350	0.028	1301	96.370	49	3.630	0	0.000	5587	0.114	0	0.000	0	0
na	NZ_CP128931.1	4990655	0.016	83	0.004	0	1572	0.031	1548	98.473	24	1.528	1	0.064	7816	0.157	0	0.000	0	0
na	NZ_CP088131.1	4785944	0.027	90	0.004	0	2895	0.060	2861	98.826	34	1.174	0	0.000	16015	0.335	39	0.001	0	0
na	NZ_CP069453.1	4666387	0.005	27	0.001	0	810	0.017	776	95.802	34	4.198	0	0.000	2526	0.054	0	0.000	0	0
na	NZ_AP022298.1	5121071	0.007	39	0.002	0	885	0.017	875	98.870	10	1.130	0	0.000	4137	0.081	0	0.000	0	0
na	NZ_CP098206.1	5072432	0.006	26	0.001	0	842	0.017	831	98.694	11	1.306	0	0.000	2618	0.052	0	0.000	0	0
na	NZ_CP045827.1	5570476	0.016	142	0.007	0	4140	0.074	4130	99.758	10	0.242	0	0.000	8874	0.159	0	0.000	0	0
na	NZ_CP081698.1	4777845	0.018	53	0.002	0	1575	0.033	1547	98.222	28	1.778	0	0.000	10563	0.221	0	0.000	0	0
na	NZ_CP049204.1	4866137	0.008	49	0.002	0	929	0.019	910	97.955	19	2.045	0	0.000	5521	0.113	0	0.000	0	0
na	NZ_CP069559.1	5008199	0.006	32	0.001	0	626	0.012	601	96.006	25	3.994	0	0.000	3799	0.076	0	0.000	0	0
na	NZ_CP128970.1	5639055	0.024	287	0.013	0	8093	0.144	8062	99.617	31	0.383	0	0.000	15474	0.274	0	0.000	0	0
na	NZ_OW967178.1	4863036	0.008	37	0.002	0	767	0.016	724	94.394	43	5.606	0	0.000	5630	0.116	0	0.000	0	0
na	NZ_CP080260.1	5366039	0.011	71	0.003	0	2316	0.043	2282	98.532	34	1.468	0	0.000	8299	0.155	0	0.000	1	475553
na	NZ_CP089930.1	4438520	0.026	853	0.039	0	19515	0.440	18372	94.143	1143	5.858	4	0.020	4214	0.095	0	0.000	0	0
na	NZ_CP007390.1	4807977	0.040	376	0.017	0	13158	0.274	12897	98.016	261	1.988	29	0.220	24932	0.519	374	0.008	1	133718
na	NZ_LR134231.1	4594692	0.047	390	0.018	0	12494	0.272	12475	99.848	19	0.152	2	0.016	21800	0.474	0	0.000	1	126260
na	NZ_CP027457.1	5001754	0.010	72	0.003	0	1590	0.032	1547	97.296	43	2.704	0	0.000	5145	0.103	0	0.000	1	524148
