ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
na	NZ_CP035879.1	5083123	0.109	728	0.006	0	12904	0.254	12517	97.001	387	3.003	17	0.132	94603	1.861	7149	0.141	3	231822
na	NZ_CP073624.1	4950124	0.210	8146	0.068	0	113708	2.297	110893	97.524	2774	2.466	1204	1.059	158500	3.202	77944	1.575	16	540743
na	NZ_CP024147.1	4639454	0.106	3108	0.026	0	24199	0.522	22993	95.016	1198	4.985	166	0.686	95369	2.056	17707	0.382	4	292774
na	NZ_CP138428.1	4614072	0.127	2101	0.017	0	36054	0.781	34920	96.855	1127	3.136	115	0.319	108121	2.343	26932	0.584	2	93012
na	NZ_CP106924.1	4837116	0.130	768	0.006	0	14130	0.292	13857	98.068	273	1.934	17	0.120	119167	2.464	14232	0.294	5	221821
na	NZ_CP051751.1	5054966	0.113	1063	0.009	0	22810	0.451	21757	95.384	1049	4.609	50	0.219	101865	2.015	8576	0.170	2	107440
na	NZ_CP047600.1	4768611	0.068	602	0.005	0	13548	0.284	13112	96.782	436	3.224	24	0.177	63534	1.332	6844	0.144	6	586362
na	NZ_CP023386.1	4900891	0.167	1709	0.014	0	48957	0.999	48228	98.511	723	1.479	70	0.143	138108	2.818	11030	0.225	8	329223
na	NZ_CP030919.1	4810511	0.201	2036	0.017	0	39418	0.819	38840	98.534	576	1.466	135	0.342	199671	4.151	37092	0.771	9	350257
na	NZ_CP027550.1	4836918	0.063	911	0.008	0	11490	0.238	10826	94.221	664	5.790	22	0.191	58178	1.203	8581	0.177	3	337082
na	NZ_CP110511.1	4814832	0.104	556	0.005	0	12847	0.267	12392	96.458	455	3.551	33	0.257	85068	1.767	6481	0.135	3	158719
na	NZ_AP023197.1	4894769	0.133	2958	0.025	0	29405	0.601	28583	97.205	817	2.787	91	0.309	128633	2.628	30347	0.620	4	198117
na	NZ_CP142442.1	5358846	0.214	2656	0.022	0	54799	1.023	54246	98.991	549	1.002	14	0.026	220680	4.118	15809	0.295	13	511689
na	NZ_CP134358.1	4936594	0.083	955	0.008	0	13697	0.277	12886	94.079	809	5.912	12	0.088	74360	1.506	9418	0.191	3	253673
na	NZ_CP038383.1	5571128	0.088	2210	0.018	0	30151	0.541	29149	96.677	994	3.313	147	0.488	79017	1.418	14516	0.261	4	254900
na	NC_017646.1	5313531	0.114	947	0.008	0	20661	0.389	19960	96.607	689	3.346	72	0.348	110173	2.073	7179	0.135	7	464955
na	NZ_CP095448.1	5120890	0.198	3031	0.025	0	77143	1.506	75798	98.256	1332	1.732	251	0.325	152927	2.986	12111	0.237	5	196120
na	NZ_CP028750.1	4602860	0.074	662	0.005	0	13054	0.284	12194	93.412	854	6.574	63	0.483	68620	1.491	8773	0.191	2	186520
na	NZ_ABACVG020000001.1	4878159	0.144	3740	0.031	0	58881	1.207	55375	94.046	3482	5.943	291	0.494	126956	2.603	27602	0.566	9	426772
na	NZ_CP053730.1	4590822	0.158	5823	0.048	0	24652	0.537	24283	98.503	369	1.499	42	0.170	129581	2.823	16108	0.351	3	132731
na	NZ_CP019267.1	4740860	0.138	731	0.006	0	18745	0.395	18462	98.490	282	1.506	21	0.112	118987	2.510	12593	0.266	2	86705
na	NZ_CP104371.1	4936877	0.185	1454	0.012	0	45499	0.922	44995	98.892	503	1.106	8	0.018	166605	3.375	9527	0.193	7	287481
na	NZ_CP095533.1	5071683	0.233	2997	0.025	0	79386	1.565	78502	98.886	879	1.108	79	0.100	195267	3.850	13810	0.272	11	406165
na	NZ_CP071375.1	5022520	0.088	1615	0.013	0	21467	0.427	20406	95.058	1054	4.926	71	0.331	77273	1.539	9292	0.185	1	98652
na	NZ_CP095540.1	4880747	0.076	1136	0.009	0	16807	0.344	15746	93.687	1056	6.298	41	0.244	72239	1.480	7641	0.157	4	364964
na	NZ_CP141765.1	5018039	0.199	1892	0.016	0	53376	1.064	52830	98.977	544	1.020	21	0.039	186197	3.711	17305	0.345	10	360936
na	NZ_AP022261.1	4907327	0.209	2373	0.020	0	73098	1.490	72318	98.933	778	1.065	58	0.079	166588	3.395	9661	0.197	5	144523
na	NZ_CP022686.1	5055316	0.072	679	0.006	0	13542	0.268	13045	96.330	490	3.658	147	1.086	69586	1.376	7032	0.139	6	560623
na	NZ_CP135649.1	4717304	0.176	1412	0.012	0	28509	0.604	27939	98.001	568	2.004	167	0.586	159084	3.372	24535	0.520	4	157184
na	NZ_CP087290.1	5197709	0.187	2300	0.019	0	58547	1.126	57672	98.505	871	1.490	76	0.130	178081	3.426	26570	0.511	7	289480
na	NZ_CP082774.1	5015239	0.067	603	0.005	0	13642	0.272	13140	96.320	494	3.670	182	1.334	61406	1.224	5469	0.109	8	828129
na	NZ_CP100500.1	5559392	0.203	3977	0.033	0	76164	1.370	75010	98.485	1150	1.512	103	0.135	201290	3.621	39258	0.706	20	777306
na	NZ_CP027440.1	4892666	0.110	1127	0.009	0	26591	0.543	25861	97.255	722	2.722	62	0.233	100856	2.061	11816	0.242	11	647400
na	NZ_CP033762.1	4977723	0.070	599	0.005	0	6181	0.124	6015	97.314	166	2.686	1	0.016	77360	1.554	11569	0.232	4	349675
na	NZ_CP068815.1	5192168	0.065	399	0.003	0	9253	0.178	8819	95.310	433	4.684	9	0.097	73533	1.416	11042	0.213	7	734196
na	NZ_CP098223.1	4841244	0.147	3145	0.026	0	53387	1.103	51010	95.548	2354	4.428	224	0.420	134060	2.769	29915	0.618	5	278496
na	NZ_CP104598.1	4901141	0.136	973	0.008	0	23581	0.481	22917	97.184	658	2.799	76	0.322	135651	2.768	23054	0.470	9	428241
na	NZ_AP022811.1	5283470	0.118	1141	0.009	0	12600	0.238	12388	98.317	212	1.685	22	0.175	122072	2.310	22263	0.421	6	304313
na	NZ_AP027258.1	4968007	0.097	717	0.006	0	16469	0.332	15910	96.606	556	3.380	18	0.109	82083	1.652	7999	0.161	4	283699
na	NZ_AP019538.1	5071981	0.172	809	0.007	0	25769	0.508	25446	98.747	323	1.255	34	0.132	176341	3.477	13463	0.265	12	486386
na	NZ_AP021933.1	4928821	0.129	984	0.008	0	20814	0.422	19895	95.585	913	4.400	62	0.298	121478	2.465	8863	0.180	4	202757
na	NZ_AP022087.1	4996252	0.168	1242	0.010	0	33143	0.663	32633	98.461	506	1.529	46	0.139	165402	3.311	12114	0.242	8	397372
