ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
na	NZ_CP035879.1	5083123	0.016	22	0.002	0	418	0.008	416	99.522	2	0.478	0	0.000	8802	0.173	0	0.000	1	356971
na	NZ_CP073624.1	4950124	0.022	59	0.005	0	1532	0.031	1513	98.760	19	1.240	0	0.000	10792	0.218	0	0.000	0	0
na	NZ_CP024147.1	4639454	0.007	38	0.003	0	724	0.016	719	99.309	5	0.691	0	0.000	3173	0.068	0	0.000	0	0
na	NZ_CP138428.1	4614072	0.012	52	0.004	0	883	0.019	879	99.547	4	0.453	0	0.000	4965	0.108	0	0.000	0	0
na	NZ_CP106924.1	4837116	0.021	56	0.005	0	1908	0.039	1907	99.948	1	0.052	0	0.000	11389	0.235	0	0.000	1	247494
na	NZ_CP051751.1	5054966	0.003	37	0.003	0	1489	0.029	1450	97.381	39	2.619	0	0.000	856	0.017	0	0.000	0	0
na	NZ_CP047600.1	4768611	0.002	7	0.001	0	64	0.001	61	95.312	3	4.688	0	0.000	351	0.007	0	0.000	0	0
na	NZ_CP023386.1	4900891	0.003	18	0.002	0	386	0.008	374	96.891	12	3.109	0	0.000	1559	0.032	0	0.000	0	0
na	NZ_CP030919.1	4810511	0.024	52	0.004	0	645	0.013	643	99.690	2	0.310	0	0.000	11986	0.249	0	0.000	1	256404
na	NZ_CP027550.1	4836918	0.002	16	0.001	0	109	0.002	109	100.000	0	0.000	0	0.000	1057	0.022	0	0.000	0	0
na	NZ_CP110511.1	4814832	0.015	60	0.005	0	1359	0.028	1349	99.264	10	0.736	0	0.000	7082	0.147	0	0.000	0	0
na	NZ_AP023197.1	4894769	0.011	45	0.004	0	487	0.010	478	98.152	9	1.848	0	0.000	5030	0.103	0	0.000	0	0
na	NZ_CP142442.1	5358846	0.003	33	0.003	0	1333	0.025	1332	99.925	1	0.075	0	0.000	1094	0.020	0	0.000	0	0
na	NZ_CP134358.1	4936594	0.006	45	0.004	0	1159	0.023	1145	98.792	14	1.209	1	0.086	1742	0.035	0	0.000	0	0
na	NZ_CP038383.1	5571128	0.006	29	0.002	0	547	0.010	541	98.903	6	1.097	0	0.000	2371	0.043	0	0.000	0	0
na	NC_017646.1	5313531	0.003	20	0.002	0	550	0.010	545	99.091	5	0.909	0	0.000	1846	0.035	0	0.000	0	0
na	NZ_CP095448.1	5120890	0.003	18	0.002	0	146	0.003	143	97.945	3	2.055	0	0.000	1807	0.035	0	0.000	1	1818988
na	NZ_CP028750.1	4602860	0.002	8	0.001	0	5	0.000	5	100.000	0	0.000	0	0.000	466	0.010	0	0.000	0	0
na	NZ_ABACVG020000001.1	4878159	0.005	80	0.007	0	1906	0.039	1881	98.688	25	1.312	0	0.000	2172	0.045	0	0.000	0	0
na	NZ_CP053730.1	4590822	0.027	102	0.009	0	3218	0.070	3196	99.316	22	0.684	0	0.000	11823	0.258	0	0.000	0	0
na	NZ_CP019267.1	4740860	0.023	132	0.011	0	3357	0.071	3357	100.000	0	0.000	0	0.000	11445	0.241	0	0.000	0	0
na	NZ_CP104371.1	4936877	0.002	7	0.001	0	121	0.002	119	98.347	2	1.653	0	0.000	1333	0.027	0	0.000	0	0
na	NZ_CP095533.1	5071683	0.003	25	0.002	0	843	0.017	821	97.390	22	2.610	0	0.000	1174	0.023	0	0.000	0	0
na	NZ_CP071375.1	5022520	0.006	39	0.003	0	695	0.014	694	99.856	1	0.146	8	1.151	2734	0.054	0	0.000	0	0
na	NZ_CP095540.1	4880747	0.003	41	0.004	0	923	0.019	899	97.400	24	2.600	0	0.000	1346	0.028	0	0.000	0	0
na	NZ_CP141765.1	5018039	0.002	15	0.001	0	280	0.006	280	100.000	0	0.000	0	0.000	1525	0.030	0	0.000	0	0
na	NZ_AP022261.1	4907327	0.004	18	0.002	0	465	0.009	465	100.000	0	0.000	0	0.000	2207	0.045	0	0.000	0	0
na	NZ_CP022686.1	5055316	0.002	6	0.001	0	148	0.003	148	100.000	0	0.000	0	0.000	1032	0.020	0	0.000	0	0
na	NZ_CP135649.1	4717304	0.022	57	0.005	0	1904	0.040	1892	99.370	12	0.630	0	0.000	10087	0.214	0	0.000	1	291893
na	NZ_CP087290.1	5197709	0.007	113	0.010	0	3463	0.067	3461	99.942	2	0.058	0	0.000	2975	0.057	0	0.000	0	0
na	NZ_CP082774.1	5015239	0.002	14	0.001	0	768	0.015	765	99.609	3	0.391	0	0.000	676	0.013	0	0.000	1	2585810
na	NZ_CP100500.1	5559392	0.007	71	0.006	0	2186	0.039	2182	99.817	4	0.183	0	0.000	3396	0.061	0	0.000	0	0
na	NZ_CP027440.1	4892666	0.003	35	0.003	0	1375	0.028	1368	99.491	7	0.509	0	0.000	1185	0.024	0	0.000	0	0
na	NZ_CP033762.1	4977723	0.002	2	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	891	0.018	0	0.000	0	0
na	NZ_CP068815.1	5192168	0.001	11	0.001	0	369	0.007	365	98.916	4	1.084	0	0.000	370	0.007	0	0.000	0	0
na	NZ_CP098223.1	4841244	0.005	80	0.007	0	2190	0.045	2164	98.813	26	1.187	0	0.000	1659	0.034	0	0.000	0	0
na	NZ_CP104598.1	4901141	0.018	173	0.015	0	4429	0.090	4427	99.955	2	0.045	0	0.000	7468	0.152	0	0.000	1	312186
na	NZ_AP022811.1	5283470	0.018	67	0.006	0	1837	0.035	1830	99.619	7	0.381	0	0.000	10307	0.195	0	0.000	0	0
na	NZ_AP027258.1	4968007	0.015	46	0.004	0	963	0.019	954	99.065	9	0.935	0	0.000	7473	0.150	0	0.000	0	0
na	NZ_AP019538.1	5071981	0.002	4	0.000	0	29	0.001	29	100.000	0	0.000	0	0.000	865	0.017	0	0.000	0	0
na	NZ_AP021933.1	4928821	0.004	32	0.003	0	1329	0.027	1325	99.699	4	0.301	0	0.000	1032	0.021	0	0.000	0	0
na	NZ_AP022087.1	4996252	0.003	16	0.001	0	627	0.013	619	98.724	8	1.276	0	0.000	1936	0.039	0	0.000	0	0
na	NZ_CP054345.1	5023098	0.002	16	0.001	0	726	0.014	714	98.347	12	1.653	0	0.000	781	0.016	0	0.000	0	0
na	NC_011601.1	4965553	0.002	14	0.001	0	538	0.011	535	99.442	3	0.558	0	0.000	900	0.018	0	0.000	0	0
na	NZ_CP028758.1	4902546	0.007	47	0.004	0	1550	0.032	1545	99.677	5	0.323	0	0.000	2531	0.052	0	0.000	0	0
na	NZ_CP128931.1	4990655	0.038	435	0.037	0	9937	0.199	9926	99.889	11	0.111	0	0.000	12685	0.254	0	0.000	0	0
na	NZ_CP088131.1	4785944	0.026	74	0.006	0	1674	0.035	1669	99.701	5	0.299	0	0.000	12172	0.254	0	0.000	0	0
na	NZ_CP069453.1	4666387	0.002	9	0.001	0	521	0.011	506	97.121	15	2.879	0	0.000	901	0.019	0	0.000	0	0
na	NZ_AP022298.1	5121071	0.003	8	0.001	0	132	0.003	132	100.000	0	0.000	0	0.000	1968	0.038	62	0.001	0	0
na	NZ_CP098206.1	5072432	0.003	24	0.002	0	595	0.012	587	98.655	8	1.345	0	0.000	857	0.017	0	0.000	0	0
na	NZ_CP045827.1	5570476	0.016	52	0.004	0	1169	0.021	1167	99.829	2	0.171	0	0.000	10061	0.181	0	0.000	0	0
na	NZ_CP081698.1	4777845	0.021	31	0.003	0	740	0.015	739	99.865	1	0.135	0	0.000	10545	0.221	0	0.000	0	0
na	NZ_CP049204.1	4866137	0.007	32	0.003	0	501	0.010	501	100.000	0	0.000	0	0.000	4336	0.089	0	0.000	0	0
na	NZ_CP069559.1	5008199	0.002	8	0.001	0	113	0.002	113	100.000	0	0.000	0	0.000	977	0.020	0	0.000	0	0
na	NZ_CP128970.1	5639055	0.003	24	0.002	0	575	0.010	571	99.304	4	0.696	0	0.000	1385	0.025	0	0.000	0	0
na	NZ_OW967178.1	4863036	0.002	12	0.001	0	280	0.006	275	98.214	5	1.786	0	0.000	1282	0.026	0	0.000	0	0
na	NZ_CP080260.1	5366039	0.002	7	0.001	0	0	0.000	0	0.000	0	0.000	0	0.000	833	0.016	0	0.000	0	0
na	NZ_CP089930.1	4438520	0.008	224	0.019	0	5624	0.127	5573	99.093	51	0.907	0	0.000	915	0.021	0	0.000	0	0
