ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
na	NZ_CP035879.1	5083123	0.116	367	0.003	0	10292	0.202	10204	99.145	88	0.855	0	0.000	89666	1.764	643	0.013	1	50125
na	NZ_CP073624.1	4950124	0.058	140	0.001	0	4778	0.097	4712	98.619	66	1.381	0	0.000	38356	0.775	308	0.006	0	0
na	NZ_CP024147.1	4639454	0.049	294	0.003	0	7053	0.152	7026	99.617	27	0.383	0	0.000	29499	0.636	748	0.016	1	116328
na	NZ_CP138428.1	4614072	0.047	331	0.003	0	7666	0.166	7623	99.439	43	0.561	0	0.000	28515	0.618	799	0.017	0	0
na	NZ_CP106924.1	4837116	0.135	465	0.004	0	13526	0.280	13497	99.786	29	0.214	0	0.000	99294	2.053	551	0.011	3	180481
na	NZ_CP051751.1	5054966	0.012	76	0.001	0	1805	0.036	1778	98.504	27	1.496	0	0.000	8549	0.169	232	0.005	0	0
na	NZ_CP047600.1	4768611	0.009	31	0.000	0	878	0.018	869	98.975	9	1.025	0	0.000	6285	0.132	356	0.007	0	0
na	NZ_CP023386.1	4900891	0.013	77	0.001	0	2110	0.043	2093	99.194	17	0.806	1	0.047	7994	0.163	440	0.009	1	469838
na	NZ_CP030919.1	4810511	0.071	137	0.001	0	3799	0.079	3779	99.474	20	0.526	0	0.000	50474	1.049	147	0.003	1	73114
na	NZ_CP027550.1	4836918	0.008	47	0.000	0	1812	0.037	1788	98.675	24	1.325	0	0.000	5727	0.118	398	0.008	0	0
na	NZ_CP110511.1	4814832	0.090	296	0.003	0	8304	0.172	8244	99.277	60	0.723	0	0.000	63514	1.319	601	0.012	0	0
na	NZ_AP023197.1	4894769	0.094	925	0.008	0	24250	0.495	24209	99.831	41	0.169	1	0.004	53369	1.090	582	0.012	0	0
na	NZ_CP142442.1	5358846	0.014	93	0.001	0	1578	0.029	1564	99.113	14	0.887	0	0.000	12400	0.231	1321	0.025	0	0
na	NZ_CP134358.1	4936594	0.055	374	0.003	0	9900	0.201	9862	99.616	38	0.384	0	0.000	33357	0.676	256	0.005	0	0
na	NZ_CP038383.1	5571128	0.044	338	0.003	0	10292	0.185	10242	99.514	50	0.486	5	0.049	31075	0.558	101	0.002	1	141798
na	NC_017646.1	5313531	0.016	181	0.002	0	6011	0.113	5945	98.902	66	1.098	1	0.017	11672	0.220	373	0.007	1	451317
na	NZ_CP095448.1	5120890	0.018	195	0.002	0	5949	0.116	5881	98.857	68	1.143	0	0.000	12806	0.250	0	0.000	2	683541
na	NZ_CP028750.1	4602860	0.007	22	0.000	0	196	0.004	195	99.490	1	0.510	0	0.000	4831	0.105	0	0.000	0	0
