ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
na	NZ_CP035879.1	5083123	0.181	355	0.001	0	10520	0.207	10467	99.496	53	0.504	0	0.000	178027	3.502	1868	0.037	5	188871
na	NZ_CP073624.1	4950124	0.226	781	0.003	0	24579	0.497	24215	98.519	364	1.483	27	0.110	224706	4.539	1837	0.037	9	322248
na	NZ_CP024147.1	4639454	0.104	1345	0.005	0	44500	0.959	44329	99.616	171	0.384	3	0.007	70249	1.514	5561	0.120	5	349700
na	NZ_CP138428.1	4614072	0.178	821	0.003	0	22281	0.483	22181	99.551	100	0.449	11	0.049	167797	3.637	4416	0.096	8	290476
na	NZ_CP106924.1	4837116	0.219	578	0.002	0	17337	0.358	17263	99.573	74	0.427	3	0.017	204031	4.218	3669	0.076	6	202024
na	NZ_CP051751.1	5054966	0.027	165	0.001	0	4958	0.098	4887	98.568	71	1.432	0	0.000	22368	0.442	888	0.018	0	0
na	NZ_CP047600.1	4768611	0.028	208	0.001	0	7887	0.165	7847	99.493	40	0.507	2	0.025	20763	0.435	1398	0.029	1	235679
na	NZ_CP023386.1	4900891	0.030	158	0.001	0	5640	0.115	5583	98.989	57	1.011	0	0.000	23862	0.487	1326	0.027	0	0
na	NZ_CP030919.1	4810511	0.379	1019	0.004	0	33711	0.701	33559	99.549	152	0.451	3	0.009	397033	8.253	4524	0.094	17	463454
na	NZ_CP027550.1	4836918	0.015	224	0.001	0	3235	0.067	3202	98.980	33	1.020	0	0.000	13555	0.280	1553	0.032	0	0
na	NZ_CP110511.1	4814832	0.204	627	0.002	0	19541	0.406	19468	99.626	73	0.374	2	0.010	187971	3.904	2979	0.062	4	146564
na	NZ_AP023197.1	4894769	0.097	382	0.001	0	9916	0.203	9861	99.445	55	0.555	2	0.020	83662	1.709	2906	0.059	6	412011
na	NZ_CP142442.1	5358846	0.039	146	0.001	0	4511	0.084	4449	98.626	62	1.374	0	0.000	43821	0.818	5763	0.108	4	629193
na	NZ_CP134358.1	4936594	0.062	241	0.001	0	7789	0.158	7726	99.191	63	0.809	2	0.026	47829	0.969	1002	0.020	2	231459
na	NZ_CP038383.1	5571128	0.059	317	0.001	0	10236	0.184	10170	99.355	66	0.645	1	0.010	52607	0.944	761	0.014	2	203631
na	NC_017646.1	5313531	0.032	219	0.001	0	6992	0.132	6940	99.256	52	0.745	10	0.143	28817	0.542	1016	0.019	0	0
na	NZ_CP095448.1	5120890	0.035	332	0.001	0	9998	0.195	9919	99.210	79	0.791	6	0.060	25491	0.498	932	0.018	3	546593
na	NZ_CP028750.1	4602860	0.017	102	0.000	0	2744	0.060	2720	99.125	24	0.875	0	0.000	11395	0.248	0	0.000	0	0
na	NZ_ABACVG020000001.1	4878159	0.127	2748	0.010	0	86132	1.766	85526	99.296	606	0.704	1	0.001	53353	1.094	444	0.009	0	0
