ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
na	NZ_CP035879.1	5083123	0.002	11	0.000	0	38	0.001	38	100.000	0	0.000	0	0.000	970	0.019	0	0.000	0	0
na	NZ_CP073624.1	4950124	0.003	54	0.001	0	1461	0.030	1437	98.357	24	1.643	0	0.000	1262	0.025	0	0.000	0	0
na	NZ_CP024147.1	4639454	0.002	13	0.000	0	280	0.006	278	99.286	2	0.714	0	0.000	839	0.018	0	0.000	0	0
na	NZ_CP138428.1	4614072	0.004	40	0.001	0	721	0.016	711	98.613	10	1.387	0	0.000	1253	0.027	37	0.001	0	0
na	NZ_CP106924.1	4837116	0.002	10	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	901	0.019	0	0.000	0	0
na	NZ_CP051751.1	5054966	0.001	7	0.000	0	72	0.001	67	93.056	5	6.944	0	0.000	346	0.007	0	0.000	0	0
na	NZ_CP047600.1	4768611	0.001	4	0.000	0	80	0.002	73	91.250	7	8.750	0	0.000	290	0.006	0	0.000	0	0
na	NZ_CP023386.1	4900891	0.001	9	0.000	0	61	0.001	57	93.443	4	6.557	0	0.000	154	0.003	0	0.000	0	0
na	NZ_CP030919.1	4810511	0.004	21	0.000	0	85	0.002	84	98.824	1	1.176	0	0.000	1697	0.035	0	0.000	1	1639882
na	NZ_CP027550.1	4836918	0.001	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	562	0.012	0	0.000	0	0
na	NZ_CP110511.1	4814832	0.002	9	0.000	0	350	0.007	311	88.857	39	11.143	0	0.000	655	0.014	0	0.000	0	0
na	NZ_AP023197.1	4894769	0.003	18	0.000	0	212	0.004	204	96.226	8	3.774	0	0.000	2136	0.044	0	0.000	0	0
na	NZ_CP142442.1	5358846	0.001	6	0.000	0	151	0.003	141	93.377	10	6.623	0	0.000	717	0.013	0	0.000	0	0
na	NZ_CP134358.1	4936594	0.001	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	351	0.007	0	0.000	0	0
na	NZ_CP038383.1	5571128	0.001	22	0.000	0	447	0.008	432	96.644	15	3.356	0	0.000	469	0.008	0	0.000	0	0
na	NC_017646.1	5313531	0.001	10	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	233	0.004	0	0.000	0	0
na	NZ_CP095448.1	5120890	0.001	16	0.000	0	412	0.008	412	100.000	0	0.000	0	0.000	296	0.006	0	0.000	0	0
na	NZ_CP028750.1	4602860	0.001	2	0.000	0	16	0.000	16	100.000	0	0.000	0	0.000	337	0.007	0	0.000	0	0
na	NZ_ABACVG020000001.1	4878159	0.002	44	0.001	0	991	0.020	921	92.936	70	7.064	0	0.000	246	0.005	0	0.000	0	0
na	NZ_CP053730.1	4590822	0.004	18	0.000	0	311	0.007	307	98.714	4	1.286	0	0.000	1870	0.041	0	0.000	0	0
na	NZ_CP019267.1	4740860	0.003	16	0.000	0	151	0.003	151	100.000	0	0.000	0	0.000	898	0.019	0	0.000	0	0
na	NZ_CP104371.1	4936877	0.001	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	306	0.006	0	0.000	0	0
na	NZ_CP095533.1	5071683	0.001	14	0.000	0	395	0.008	375	94.937	20	5.063	0	0.000	459	0.009	0	0.000	0	0
na	NZ_CP071375.1	5022520	0.001	11	0.000	0	295	0.006	295	100.000	0	0.000	0	0.000	150	0.003	0	0.000	0	0
na	NZ_CP095540.1	4880747	0.001	12	0.000	0	392	0.008	387	98.724	5	1.276	0	0.000	527	0.011	0	0.000	0	0
na	NZ_CP141765.1	5018039	0.001	10	0.000	0	168	0.003	165	98.214	3	1.786	0	0.000	639	0.013	0	0.000	0	0
